organization_id,organization_name,organization_name_normalized,organization_name_search_key,organization_type_code,organization_level,parent_organization_id,province_name,management
BCA-CENTRAL-000013,Học viện An ninh nhân dân,học viện an ninh nhân dân,hoc vien an ninh nhan dan,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BCA-CENTRAL-000014,Bệnh viện 19-8,bệnh viện 19 8,benh vien 19 8,MINISTRY_DEPARTMENT,CENTRAL,,Hà Nội,BCA
BQP-CENTRAL-000015,Văn phòng Bộ Quốc phòng,văn phòng bộ quốc phòng,van phong bo quoc phong,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000016,Bộ Tổng Tham mưu,bộ tổng tham mưu,bo tong tham muu,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000017,Tổng cục Chính trị,tổng cục chính trị,tong cuc chinh tri,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000018,Tổng cục Hậu cần,tổng cục hậu cần,tong cuc hau can,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000019,Tổng cục Kỹ thuật,tổng cục kỹ thuật,tong cuc ky thuat,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000020,Tổng cục Công nghiệp Quốc phòng,tổng cục công nghiệp quốc phòng,tong cuc cong nghiep quoc phong,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000021,Tổng cục II,tổng cục ii,tong cuc ii,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000022,Quân khu 1,quân khu 1,quan khu 1,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000023,Quân khu 2,quân khu 2,quan khu 2,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000024,Quân khu 3,quân khu 3,quan khu 3,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000025,Bộ Tư lệnh Thủ đô,bộ tư lệnh thủ đô,bo tu lenh thu do,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000026,Binh chủng Đặc công,binh chủng đặc công,binh chung dac cong,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000027,Binh chủng Pháo binh,binh chủng pháo binh,binh chung phao binh,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000028,Binh chủng Tăng Thiết giáp,binh chủng tăng thiết giáp,binh chung tang thiet giap,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000029,Binh chủng Công binh,binh chủng công binh,binh chung cong binh,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000030,Binh chủng Thông tin liên lạc,binh chủng thông tin liên lạc,binh chung thong tin lien lac,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000031,Binh chủng Hóa học,binh chủng hóa học,binh chung hoa hoc,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000032,Học viện Quốc phòng,học viện quốc phòng,hoc vien quoc phong,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000033,Học viện Quân y,học viện quân y,hoc vien quan y,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BQP-CENTRAL-000034,Bệnh viện TWQĐ 108,bệnh viện twqđ 108,benh vien twqd 108,GENERAL_DEPARTMENT,CENTRAL,,Hà Nội,BQP
BCA-PROVINCE-000035,Công an Thành phố Hà Nội,công an thành phố hà nội,cong an thanh pho ha noi,POLICE_PROVINCE,PROVINCE,,Hà Nội,BCA
BQP-PROVINCE-000036,Bộ Tư lệnh Thủ đô Hà Nội,bộ tư lệnh thủ đô hà nội,bo tu lenh thu do ha noi,MILITARY_PROVINCE,PROVINCE,,Hà Nội,BQP
BCA-PROVINCE-DEPARTMENT-000037,Phòng Tham mưu - Công an Thành phố Hà Nội,phòng tham mưu công an thành phố hà nội,phong tham muu cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000038,Thanh tra Công an - Công an Thành phố Hà Nội,thanh tra công an công an thành phố hà nội,thanh tra cong an cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000039,Phòng Tổ chức cán bộ - Công an Thành phố Hà Nội,phòng tổ chức cán bộ công an thành phố hà nội,phong to chuc can bo cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000040,Phòng Công tác đảng và công tác chính trị - Công an Thành phố Hà Nội,phòng công tác đảng và công tác chính trị công an thành phố hà nội,phong cong tac dang va cong tac chinh tri cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000041,Phòng Hồ sơ - Công an Thành phố Hà Nội,phòng hồ sơ công an thành phố hà nội,phong ho so cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000042,Phòng An ninh đối nội - Công an Thành phố Hà Nội,phòng an ninh đối nội công an thành phố hà nội,phong an ninh doi noi cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000043,Phòng An ninh đối ngoại - Công an Thành phố Hà Nội,phòng an ninh đối ngoại công an thành phố hà nội,phong an ninh doi ngoai cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000044,Phòng An ninh chính trị nội bộ - Công an Thành phố Hà Nội,phòng an ninh chính trị nội bộ công an thành phố hà nội,phong an ninh chinh tri noi bo cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000045,Phòng An ninh kinh tế - Công an Thành phố Hà Nội,phòng an ninh kinh tế công an thành phố hà nội,phong an ninh kinh te cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000046,Phòng An ninh mạng và PCTP sử dụng CNC - Công an Thành phố Hà Nội,phòng an ninh mạng và pctp sử dụng cnc công an thành phố hà nội,phong an ninh mang va pctp su dung cnc cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000047,Phòng Quản lý xuất nhập cảnh - Công an Thành phố Hà Nội,phòng quản lý xuất nhập cảnh công an thành phố hà nội,phong quan ly xuat nhap canh cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000048,Phòng An ninh điều tra - Công an Thành phố Hà Nội,phòng an ninh điều tra công an thành phố hà nội,phong an ninh dieu tra cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000049,Phòng Cảnh sát hình sự - Công an Thành phố Hà Nội,phòng cảnh sát hình sự công an thành phố hà nội,phong canh sat hinh su cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000050,Phòng Cảnh sát kinh tế - Công an Thành phố Hà Nội,phòng cảnh sát kinh tế công an thành phố hà nội,phong canh sat kinh te cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000051,Phòng CSĐT tội phạm về ma túy - Công an Thành phố Hà Nội,phòng csđt tội phạm về ma túy công an thành phố hà nội,phong csdt toi pham ve ma tuy cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000052,Phòng Cảnh sát QLHC về TTXH - Công an Thành phố Hà Nội,phòng cảnh sát qlhc về ttxh công an thành phố hà nội,phong canh sat qlhc ve ttxh cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000053,Phòng Cảnh sát PCCC và CNCH - Công an Thành phố Hà Nội,phòng cảnh sát pccc và cnch công an thành phố hà nội,phong canh sat pccc va cnch cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000054,Phòng Cảnh sát giao thông - Công an Thành phố Hà Nội,phòng cảnh sát giao thông công an thành phố hà nội,phong canh sat giao thong cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000055,Phòng Kỹ thuật hình sự - Công an Thành phố Hà Nội,phòng kỹ thuật hình sự công an thành phố hà nội,phong ky thuat hinh su cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000056,Phòng Cảnh sát thi hành án hình sự và HTTP - Công an Thành phố Hà Nội,phòng cảnh sát thi hành án hình sự và http công an thành phố hà nội,phong canh sat thi hanh an hinh su va http cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000057,Phòng Cảnh sát cơ động - Công an Thành phố Hà Nội,phòng cảnh sát cơ động công an thành phố hà nội,phong canh sat co dong cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BCA-PROVINCE-DEPARTMENT-000058,Trại tạm giam - Công an Thành phố Hà Nội,trại tạm giam công an thành phố hà nội,trai tam giam cong an thanh pho ha noi,POLICE_DEPARTMENT,PROVINCE_DEPARTMENT,BCA-PROVINCE-000035,Hà Nội,BCA
BQP-PROVINCE-DEPARTMENT-000059,Phòng Tham mưu - Bộ Tư lệnh Thủ đô Hà Nội,phòng tham mưu bộ tư lệnh thủ đô hà nội,phong tham muu bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000060,Phòng Chính trị - Bộ Tư lệnh Thủ đô Hà Nội,phòng chính trị bộ tư lệnh thủ đô hà nội,phong chinh tri bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000061,Phòng Hậu cần - Kỹ thuật - Bộ Tư lệnh Thủ đô Hà Nội,phòng hậu cần kỹ thuật bộ tư lệnh thủ đô hà nội,phong hau can ky thuat bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000062,Ban Tác huấn - Bộ Tư lệnh Thủ đô Hà Nội,ban tác huấn bộ tư lệnh thủ đô hà nội,ban tac huan bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000063,Ban Dân quân tự vệ - Bộ Tư lệnh Thủ đô Hà Nội,ban dân quân tự vệ bộ tư lệnh thủ đô hà nội,ban dan quan tu ve bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000064,Ban Quân lực - Bộ Tư lệnh Thủ đô Hà Nội,ban quân lực bộ tư lệnh thủ đô hà nội,ban quan luc bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000065,Ban Tuyên huấn - Bộ Tư lệnh Thủ đô Hà Nội,ban tuyên huấn bộ tư lệnh thủ đô hà nội,ban tuyen huan bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000066,Ban Cán bộ - Bộ Tư lệnh Thủ đô Hà Nội,ban cán bộ bộ tư lệnh thủ đô hà nội,ban can bo bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000067,Ban Tổ chức - Bộ Tư lệnh Thủ đô Hà Nội,ban tổ chức bộ tư lệnh thủ đô hà nội,ban to chuc bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BQP-PROVINCE-DEPARTMENT-000068,Ban Tài chính - Bộ Tư lệnh Thủ đô Hà Nội,ban tài chính bộ tư lệnh thủ đô hà nội,ban tai chinh bo tu lenh thu do ha noi,MILITARY_DEPARTMENT,PROVINCE_DEPARTMENT,BQP-PROVINCE-000036,Hà Nội,BQP
BCA-DISTRICT-000069,Công an quận Ba Đình,công an quận ba đình,cong an quan ba dinh,POLICE_DISTRICT,DISTRICT,BCA-PROVINCE-000035,Hà Nội,BCA
BQP-DISTRICT-000070,Ban Chỉ huy Quân sự quận Ba Đình,ban chỉ huy quân sự quận ba đình,ban chi huy quan su quan ba dinh,MILITARY_DISTRICT,DISTRICT,BQP-PROVINCE-000036,Hà Nội,BQP
BCA-DISTRICT-DEPARTMENT-000071,Đội Tổng hợp - Công an quận Ba Đình,đội tổng hợp công an quận ba đình,doi tong hop cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000072,Đội An ninh - Công an quận Ba Đình,đội an ninh công an quận ba đình,doi an ninh cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000073,Đội Điều tra tổng hợp - Công an quận Ba Đình,đội điều tra tổng hợp công an quận ba đình,doi dieu tra tong hop cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000074,Đội Cảnh sát hình sự - Công an quận Ba Đình,đội cảnh sát hình sự công an quận ba đình,doi canh sat hinh su cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000075,Đội Cảnh sát điều tra tội phạm về kinh tế - ma túy - Công an quận Ba Đình,đội cảnh sát điều tra tội phạm về kinh tế ma túy công an quận ba đình,doi canh sat dieu tra toi pham ve kinh te ma tuy cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000076,Đội Cảnh sát QLHC về TTXH - Công an quận Ba Đình,đội cảnh sát qlhc về ttxh công an quận ba đình,doi canh sat qlhc ve ttxh cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000077,Đội Cảnh sát Giao thông - Trật tự - Công an quận Ba Đình,đội cảnh sát giao thông trật tự công an quận ba đình,doi canh sat giao thong trat tu cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000078,Đội Cảnh sát PCCC và CNCH - Công an quận Ba Đình,đội cảnh sát pccc và cnch công an quận ba đình,doi canh sat pccc va cnch cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000079,Đội Cảnh sát thi hành án hình sự và HTTP - Công an quận Ba Đình,đội cảnh sát thi hành án hình sự và http công an quận ba đình,doi canh sat thi hanh an hinh su va http cong an quan ba dinh,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000069,Hà Nội,BCA
BQP-DISTRICT-DEPARTMENT-000080,Ban Tham mưu - Ban Chỉ huy Quân sự quận Ba Đình,ban tham mưu ban chỉ huy quân sự quận ba đình,ban tham muu ban chi huy quan su quan ba dinh,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000070,Hà Nội,BQP
BQP-DISTRICT-DEPARTMENT-000081,Ban Chính trị - Ban Chỉ huy Quân sự quận Ba Đình,ban chính trị ban chỉ huy quân sự quận ba đình,ban chinh tri ban chi huy quan su quan ba dinh,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000070,Hà Nội,BQP
BQP-DISTRICT-DEPARTMENT-000082,Ban Hậu cần - Kỹ thuật - Ban Chỉ huy Quân sự quận Ba Đình,ban hậu cần kỹ thuật ban chỉ huy quân sự quận ba đình,ban hau can ky thuat ban chi huy quan su quan ba dinh,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000070,Hà Nội,BQP
BCA-DISTRICT-000083,Công an quận Hoàn Kiếm,công an quận hoàn kiếm,cong an quan hoan kiem,POLICE_DISTRICT,DISTRICT,BCA-PROVINCE-000035,Hà Nội,BCA
BQP-DISTRICT-000084,Ban Chỉ huy Quân sự quận Hoàn Kiếm,ban chỉ huy quân sự quận hoàn kiếm,ban chi huy quan su quan hoan kiem,MILITARY_DISTRICT,DISTRICT,BQP-PROVINCE-000036,Hà Nội,BQP
BCA-DISTRICT-DEPARTMENT-000085,Đội Tổng hợp - Công an quận Hoàn Kiếm,đội tổng hợp công an quận hoàn kiếm,doi tong hop cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000086,Đội An ninh - Công an quận Hoàn Kiếm,đội an ninh công an quận hoàn kiếm,doi an ninh cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000087,Đội Điều tra tổng hợp - Công an quận Hoàn Kiếm,đội điều tra tổng hợp công an quận hoàn kiếm,doi dieu tra tong hop cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000088,Đội Cảnh sát hình sự - Công an quận Hoàn Kiếm,đội cảnh sát hình sự công an quận hoàn kiếm,doi canh sat hinh su cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000089,Đội Cảnh sát điều tra tội phạm về kinh tế - ma túy - Công an quận Hoàn Kiếm,đội cảnh sát điều tra tội phạm về kinh tế ma túy công an quận hoàn kiếm,doi canh sat dieu tra toi pham ve kinh te ma tuy cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000090,Đội Cảnh sát QLHC về TTXH - Công an quận Hoàn Kiếm,đội cảnh sát qlhc về ttxh công an quận hoàn kiếm,doi canh sat qlhc ve ttxh cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000091,Đội Cảnh sát Giao thông - Trật tự - Công an quận Hoàn Kiếm,đội cảnh sát giao thông trật tự công an quận hoàn kiếm,doi canh sat giao thong trat tu cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000092,Đội Cảnh sát PCCC và CNCH - Công an quận Hoàn Kiếm,đội cảnh sát pccc và cnch công an quận hoàn kiếm,doi canh sat pccc va cnch cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000093,Đội Cảnh sát thi hành án hình sự và HTTP - Công an quận Hoàn Kiếm,đội cảnh sát thi hành án hình sự và http công an quận hoàn kiếm,doi canh sat thi hanh an hinh su va http cong an quan hoan kiem,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000083,Hà Nội,BCA
BQP-DISTRICT-DEPARTMENT-000094,Ban Tham mưu - Ban Chỉ huy Quân sự quận Hoàn Kiếm,ban tham mưu ban chỉ huy quân sự quận hoàn kiếm,ban tham muu ban chi huy quan su quan hoan kiem,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000084,Hà Nội,BQP
BQP-DISTRICT-DEPARTMENT-000095,Ban Chính trị - Ban Chỉ huy Quân sự quận Hoàn Kiếm,ban chính trị ban chỉ huy quân sự quận hoàn kiếm,ban chinh tri ban chi huy quan su quan hoan kiem,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000084,Hà Nội,BQP
BQP-DISTRICT-DEPARTMENT-000096,Ban Hậu cần - Kỹ thuật - Ban Chỉ huy Quân sự quận Hoàn Kiếm,ban hậu cần kỹ thuật ban chỉ huy quân sự quận hoàn kiếm,ban hau can ky thuat ban chi huy quan su quan hoan kiem,MILITARY_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BQP-DISTRICT-000084,Hà Nội,BQP
BCA-DISTRICT-000097,Công an quận Tây Hồ,công an quận tây hồ,cong an quan tay ho,POLICE_DISTRICT,DISTRICT,BCA-PROVINCE-000035,Hà Nội,BCA
BQP-DISTRICT-000098,Ban Chỉ huy Quân sự quận Tây Hồ,ban chỉ huy quân sự quận tây hồ,ban chi huy quan su quan tay ho,MILITARY_DISTRICT,DISTRICT,BQP-PROVINCE-000036,Hà Nội,BQP
BCA-DISTRICT-DEPARTMENT-000099,Đội Tổng hợp - Công an quận Tây Hồ,đội tổng hợp công an quận tây hồ,doi tong hop cong an quan tay ho,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000097,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000100,Đội An ninh - Công an quận Tây Hồ,đội an ninh công an quận tây hồ,doi an ninh cong an quan tay ho,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000097,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000101,Đội Điều tra tổng hợp - Công an quận Tây Hồ,đội điều tra tổng hợp công an quận tây hồ,doi dieu tra tong hop cong an quan tay ho,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000097,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000102,Đội Cảnh sát hình sự - Công an quận Tây Hồ,đội cảnh sát hình sự công an quận tây hồ,doi canh sat hinh su cong an quan tay ho,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000097,Hà Nội,BCA
BCA-DISTRICT-DEPARTMENT-000103,Đội Cảnh sát điều tra tội phạm về kinh tế - ma túy - Công an quận Tây Hồ,đội cảnh sát điều tra tội phạm về kinh tế ma túy công an quận tây hồ,doi canh sat dieu tra toi pham ve kinh te ma tuy cong an quan tay ho,POLICE_DISTRICT_DEPT,DISTRICT_DEPARTMENT,BCA-DISTRICT-000097,Hà Nội,BCA
